PROPERTY  MARKET  YIELDS  -  PRIVATE  DOMESTIC [MONTHLY[DOMESTIC]],,,,,,,,,,
Month,Domestic Class A,Domestic Class A - Remarks,Domestic Class B,Domestic Class B - Remarks,Domestic Class C,Domestic Class C - Remarks,Domestic Class D,Domestic Class D - Remarks,Domestic Class E,Domestic Class E - Remarks
01-2024,3.3,,2.8,,2.6,,2.4,,2.3,
02-2024,3.3,,2.8,,2.5,,2.4,,2.2,
03-2024,3.3,,2.8,,2.5,,2.4,,2.2,
04-2024,3.3,,2.8,,2.5,,2.4,,2.2,
05-2024,3.4,,2.9,,2.6,,2.4,,2.3,
06-2024,3.5,,3,,2.6,,2.4,,2.3,
07-2024,3.6,,3,,2.7,,2.5,,2.3,
08-2024,3.7,,3.1,,2.8,,2.5,,2.4,
09-2024,3.7,,3.2,,2.8,,2.6,,2.4,
10-2024,3.6,,3.1,,2.8,,2.5,,2.4,
11-2024,3.6,,3.1,,2.7,,2.5,,2.3,
12-2024,3.7,,3.1,,2.7,,2.5,,2.4,
01-2025,3.7,,3.1,,2.8,,2.5,,2.4,
02-2025,3.7,,3.1,,2.8,,2.5,,2.4,
03-2025,3.7,,3.2,,2.8,,2.6,,2.4,
04-2025,3.6,,3.1,,2.8,,2.5,,2.4,
05-2025,3.6,,3.1,,2.8,,2.6,,2.4,
06-2025,3.7,,3.2,,2.8,,2.6,,2.4,
07-2025,3.7,,3.2,,2.8,,2.6,,2.4,
08-2025,3.7,,3.2,,2.9,,2.6,,2.4,
09-2025,3.7,,3.1,,2.8,,2.6,,2.3,
10-2025,3.7,,3.1,,2.8,,2.6,,2.3,
11-2025,3.6,,3.1,,2.8,,2.6,,2.3,
12-2025,3.6,,3.1,,2.7,,2.6,,2.3,
01-2026,3.6,,3.1,,2.7,,2.6,,2.3,
02-2026,3.5,,3,,2.7,,2.5,,2.3,
03-2026,3.5,,3,,2.7,,2.6,,2.3,
04-2026,3.4,,2.9,,2.7,,2.6,,2.3,
05-2026,3.4,P,2.9,P,2.7,P,2.6,P,2.3,P
06-2026,3.4,P,3,P,2.7,P,2.6,P,2.3,P
07-2026,3.4,P,3,P,2.7,P,2.6,P,2.3,P
